ID Proceso,Tiempo de Llegada,Duración de la Ráfaga,Inicio de Ejecución,Fin de Ejecución
29,8,14,8,22
12,13,6,22,28
13,31,15,31,46
22,34,14,46,60
26,39,20,60,80
24,46,18,80,98
7,46,16,98,114
17,57,13,114,127
16,72,3,127,130
3,73,14,130,144
11,73,13,144,157
2,76,9,157,166
1,82,20,166,186
4,85,14,186,200
15,86,9,200,209
19,12,9,209,218
30,12,3,218,221
9,16,12,221,233
8,17,16,233,249
20,27,13,249,262
5,27,15,262,277
6,29,8,277,285
21,29,15,285,300
10,36,9,300,309
28,36,15,309,324
23,44,13,324,337
14,50,5,337,342
18,66,10,342,352
25,70,3,352,355
27,76,7,355,362
