ID Proceso,Tiempo de Llegada,Duración de la Ráfaga,Inicio de Ejecución,Fin de Ejecución
13,15,4,15,19
1,19,10,19,29
27,24,16,29,45
9,27,15,45,60
3,29,11,60,71
28,29,7,71,78
22,34,9,78,87
15,38,6,87,93
19,39,15,93,108
25,42,15,108,123
23,44,11,123,134
29,47,6,134,140
17,49,19,140,159
20,50,6,159,165
14,50,14,165,179
11,52,16,179,195
26,54,11,195,206
16,56,14,206,220
8,56,3,220,223
18,56,10,223,233
2,58,8,233,241
5,61,8,241,249
6,62,12,249,261
21,63,14,261,275
7,63,7,275,282
12,64,10,282,292
4,65,8,292,300
30,66,19,300,319
24,70,7,319,326
10,72,9,326,335
